0 	granularity-eff 	tasks-eff 	runtime-eff 	pipeline-eff
1 	1.000000e+00 	1.000000e+00 	1.000000e+00 	1.000000e+00
2 	9.588832e-01 	9.588832e-01 	9.972215e-01 	9.999844e-01
3 	9.984195e-01 	9.984195e-01 	9.992539e-01 	9.999840e-01
4 	9.936055e-01 	9.936055e-01 	9.992505e-01 	9.999843e-01
5 	9.859209e-01 	9.859209e-01 	9.991938e-01 	9.999840e-01
6 	9.913540e-01 	9.913540e-01 	9.992224e-01 	9.999848e-01
7 	9.980442e-01 	9.980442e-01 	9.993216e-01 	9.999841e-01
8 	9.932070e-01 	9.932070e-01 	9.993356e-01 	9.999844e-01
9 	9.953908e-01 	9.953908e-01 	9.993136e-01 	9.999852e-01
10 	9.930517e-01 	9.930517e-01 	9.991280e-01 	9.999848e-01
11 	9.937148e-01 	9.937148e-01 	9.992802e-01 	9.999838e-01
12 	9.895039e-01 	9.895039e-01 	9.992958e-01 	9.999842e-01
13 	9.934571e-01 	9.934571e-01 	9.992770e-01 	9.999845e-01
14 	9.939346e-01 	9.939346e-01 	9.993242e-01 	9.999845e-01
15 	9.929928e-01 	9.929928e-01 	9.993077e-01 	9.999849e-01
16 	9.946804e-01 	9.946804e-01 	9.993051e-01 	9.999838e-01
17 	9.959137e-01 	9.959137e-01 	9.992893e-01 	9.999839e-01
18 	9.652375e-01 	9.652375e-01 	9.961152e-01 	9.999832e-01
19 	9.937258e-01 	9.937258e-01 	9.992987e-01 	9.999845e-01
20 	9.949256e-01 	9.949256e-01 	9.992757e-01 	9.999843e-01
21 	9.886613e-01 	9.886613e-01 	9.992616e-01 	9.999838e-01
22 	9.921982e-01 	9.921982e-01 	9.992499e-01 	9.999842e-01
23 	1.001717e+00 	1.001717e+00 	9.992881e-01 	9.999846e-01
24 	9.957642e-01 	9.957642e-01 	9.992461e-01 	9.999836e-01
