0 	L2L 	M2M 	P2M 	L2P 	M2L-out 	M2L 	P2P-out 	P2P 
1	1.000000e+00 	1.000000e+00 	1.000000e+00 	1.000000e+00 	1.000000e+00 	1.000000e+00 	1.000000e+00 	1.000000e+00 
2	9.565659e-01 	9.665736e-01 	1.031103e+00 	1.004286e+00 	9.715094e-01 	9.208541e-01 	9.697996e-01 	9.763831e-01 
3	9.263068e-01 	1.024516e+00 	1.029574e+00 	9.889095e-01 	9.937418e-01 	9.954310e-01 	1.001689e+00 	1.000994e+00 
4	1.005226e+00 	1.006333e+00 	1.033745e+00 	1.010624e+00 	9.534195e-01 	9.864280e-01 	9.895790e-01 	9.995851e-01 
5	8.615300e-01 	9.844517e-01 	9.938413e-01 	1.009990e+00 	9.569465e-01 	9.791331e-01 	9.887700e-01 	9.975625e-01 
6	8.535893e-01 	9.410083e-01 	1.014109e+00 	1.018876e+00 	9.739749e-01 	9.860534e-01 	9.782539e-01 	9.964238e-01 
7	1.046813e+00 	9.975072e-01 	1.037954e+00 	1.003486e+00 	9.786087e-01 	9.933857e-01 	1.004895e+00 	9.965736e-01 
8	9.995985e-01 	1.013025e+00 	9.895591e-01 	1.013030e+00 	9.652670e-01 	9.907845e-01 	1.000561e+00 	9.971405e-01 
9	1.039365e+00 	1.013929e+00 	1.047827e+00 	9.852421e-01 	9.711139e-01 	9.898517e-01 	9.980679e-01 	9.993222e-01 
10	9.181035e-01 	9.952685e-01 	1.031850e+00 	1.012496e+00 	9.670203e-01 	9.852214e-01 	9.859215e-01 	9.985014e-01 
11	8.717502e-01 	9.889525e-01 	1.028373e+00 	1.011922e+00 	9.699808e-01 	9.888136e-01 	9.826419e-01 	9.981512e-01 
12	9.452144e-01 	1.040015e+00 	1.013514e+00 	9.762884e-01 	9.389195e-01 	9.915452e-01 	9.996240e-01 	9.998256e-01 
13	1.022490e+00 	1.021529e+00 	1.014210e+00 	9.896566e-01 	9.668669e-01 	9.898209e-01 	1.011145e+00 	9.991000e-01 
14	9.383201e-01 	9.923898e-01 	1.030084e+00 	1.009296e+00 	9.748870e-01 	9.858361e-01 	1.005721e+00 	9.971995e-01 
15	9.387378e-01 	9.986737e-01 	1.032522e+00 	9.967096e-01 	9.675984e-01 	9.877332e-01 	1.003181e+00 	9.974178e-01 
16	9.377196e-01 	9.853747e-01 	1.043778e+00 	1.003874e+00 	9.786853e-01 	9.873092e-01 	1.003464e+00 	9.958178e-01 
17	9.293735e-01 	1.034251e+00 	1.038271e+00 	1.003177e+00 	9.700248e-01 	9.915540e-01 	9.899480e-01 	9.984129e-01 
18	9.081814e-01 	9.992797e-01 	1.018655e+00 	9.982681e-01 	9.627375e-01 	9.752319e-01 	9.739917e-01 	9.297086e-01 
19	9.471672e-01 	9.763513e-01 	1.026148e+00 	1.013503e+00 	9.656781e-01 	9.868543e-01 	9.891711e-01 	9.992051e-01 
20	9.376034e-01 	1.008523e+00 	1.015422e+00 	9.988900e-01 	9.763451e-01 	9.917410e-01 	1.016855e+00 	9.974959e-01 
21	9.649789e-01 	9.941223e-01 	1.023371e+00 	9.720318e-01 	9.427889e-01 	9.864717e-01 	1.011408e+00 	1.001528e+00 
22	8.085859e-01 	1.003002e+00 	1.024132e+00 	1.015483e+00 	9.586926e-01 	9.888563e-01 	9.829068e-01 	9.982469e-01 
23	9.843031e-01 	1.009513e+00 	1.041257e+00 	1.012564e+00 	1.009160e+00 	9.949415e-01 	9.970272e-01 	9.964763e-01 
24	9.408696e-01 	9.847445e-01 	1.030481e+00 	9.726508e-01 	9.691133e-01 	9.975819e-01 	1.022271e+00 	1.000680e+00 
