Energy : -2.7909E+04

sample of starting configuration

      i       x(i)            y(i)            z(i)           fx(i)           fy(i)           fz(i)


      1  5.44400000E+00 -4.11780000E-01 -3.84400000E+00 -4.76900000E+03  8.50220000E+03  1.09700000E+04
      2  6.28990000E+00 -9.44300000E-01 -3.87120000E+00  6.06460000E+03 -6.08020000E+03 -2.25580000E+03
      3  5.06260000E+00 -3.43760000E-01 -4.76590000E+00  2.65070000E+02  5.12720000E+02 -8.22160000E+03
      4 -4.46810000E+00 -3.68270000E+00 -1.54850000E+00  2.85330000E+03  6.89420000E+02  1.49430000E+03
      5 -4.08720000E+00 -4.17960000E+00 -2.32820000E+00 -3.45970000E+02 -3.19320000E+03 -3.68930000E+03
      6 -5.43380000E+00 -3.91940000E+00 -1.44120000E+00 -3.63880000E+03 -1.27350000E+03 -4.90240000E+01
      7  7.96470000E+00 -1.79650000E+00 -3.74890000E+00 -4.21080000E+03  6.65130000E+03  8.28170000E+02
      8  8.15750000E+00 -2.77270000E+00 -3.64950000E+00  2.63580000E+02 -3.87590000E+03 -6.65370000E+02
      9 -8.37650000E+00 -1.28120000E+00 -3.70690000E+00  3.01390000E+03 -1.57190000E+03 -5.66560000E+02
     10  3.27160000E+00  2.66880000E+00 -6.06630000E+00  8.22910000E+03  7.72420000E+03  8.78730000E+02
     11  2.99170000E+00  1.78710000E+00 -5.68650000E+00 -4.98360000E+03 -5.48520000E+03 -2.05090000E+02
     12  2.59780000E+00  2.97080000E+00 -6.74070000E+00 -3.66320000E+03 -3.68850000E+02 -4.23260000E+02
     13 -6.26980000E+00  3.40300000E+00  1.26140000E-01  1.98730000E+03 -7.97630000E+03  5.60450000E+03
     14 -5.51830000E+00  4.06220000E+00  1.54900000E-01  2.03530000E+03  4.23190000E+03 -4.82320000E+02
     15 -6.89630000E+00  3.64320000E+00 -6.15240000E-01 -4.15010000E+03  1.77610000E+03 -3.30980000E+03
     16 -7.18470000E+00 -4.75990000E+00  6.84820000E+00 -5.56650000E+03  5.34740000E+03 -5.39860000E+03
     17 -7.21820000E+00 -4.34520000E+00  7.75760000E+00  1.23960000E+03 -6.11710000E+02  2.10000000E+03
     18 -6.46460000E+00 -5.45330000E+00  6.82390000E+00  5.87250000E+03 -5.23100000E+03  1.76480000E+02
     19  6.92920000E+00  3.85410000E+00  1.47090000E+00 -7.47080000E+03  4.29030000E+03 -6.13160000E+03
     20  7.61170000E+00  3.52040000E+00  2.12120000E+00  4.77920000E+03 -2.23130000E+03  6.16000000E+03
     21  6.66900000E+00  3.11390000E+00  8.50910000E-01  9.20860000E+02 -2.50270000E+03  6.46510000E+02
     22  4.07540000E-01 -6.40810000E+00 -5.32020000E+00 -9.86270000E+02  5.21490000E+03 -2.03870000E+03
     23 -5.60260000E-02 -7.06440000E+00 -4.72490000E+00 -9.75300000E+02 -2.04520000E+03  1.78920000E+03
     24  1.38500000E+00 -6.39870000E+00 -5.10940000E+00  3.96950000E+03 -3.23910000E+01  1.57460000E+03
     25  7.35190000E+00 -3.84620000E-01  6.20690000E+00  5.72860000E+03  8.90860000E+03  1.46840000E+03
