Energy :  -2.7909E+04

 sample of final configuration

      i       x(i)            y(i)            z(i)           fx(i)           fy(i)           fz(i)


      1  5.44400000E+00 -4.11780000E-01 -3.84400000E+00  1.74023101E+04 -1.49956673E+04 -3.39784417E+04
      2  6.28990000E+00 -9.44300000E-01 -3.87120000E+00 -2.68659171E+04  1.55783794E+04  3.80817446E+03
      3  5.06260000E+00 -3.43760000E-01 -4.76590000E+00  1.15052415E+04  5.53605903E+02  3.00416382E+04
      4 -4.46810000E+00 -3.68270000E+00 -1.54850000E+00 -2.05789865E+04 -2.35304903E+04 -2.54739670E+04
      5 -4.08720000E+00 -4.17960000E+00 -2.32820000E+00 -1.09247820E+04  1.86195286E+04  2.79798403E+04
      6 -5.43380000E+00 -3.91940000E+00 -1.44120000E+00  3.42391260E+04  1.11686970E+04 -3.04487530E+02
      7  7.96470000E+00 -1.79650000E+00 -3.74890000E+00  4.15789485E+04 -1.59374636E+04  6.99565675E+03
      8  8.15750000E+00 -2.77270000E+00 -3.64950000E+00 -1.23056910E+04  3.37405284E+04 -5.00171843E+03
      9 -8.37650000E+00 -1.28120000E+00 -3.70690000E+00 -3.32528796E+04 -1.74872866E+04 -2.82218496E+03
     10  3.27160000E+00  2.66880000E+00 -6.06630000E+00 -3.64612651E+04 -2.26601459E+04 -1.17315715E+04
     11  2.99170000E+00  1.78710000E+00 -5.68650000E+00  1.02035186E+04  2.93555531E+04 -1.23018771E+04
     12  2.59780000E+00  2.97080000E+00 -6.74070000E+00  2.56999737E+04 -8.12733621E+03  2.54204815E+04
     13 -6.26980000E+00  3.40300000E+00  1.26140000E-01  6.39345450E+03  3.45942230E+04 -2.97882232E+04
     14 -5.51830000E+00  4.06220000E+00  1.54900000E-01 -2.56734758E+04 -2.43061796E+04  2.30693768E+03
     15 -6.89630000E+00  3.64320000E+00 -6.15240000E-01  1.77279721E+04 -1.16939388E+04  2.71973243E+04
     16 -7.18470000E+00 -4.75990000E+00  6.84820000E+00  2.79436383E+04 -7.69836878E+03  3.40791760E+04
     17 -7.21820000E+00 -4.34520000E+00  7.75760000E+00 -1.24138326E+03 -1.40377468E+04 -3.53681211E+04
     18 -6.46460000E+00 -5.45330000E+00  6.82390000E+00 -2.37255588E+04  2.12201691E+04 -3.69453809E+03
     19  6.92920000E+00  3.85410000E+00  1.47090000E+00  1.22037529E+04 -4.14756185E+04 -3.98208205E+03
     20  7.61170000E+00  3.52040000E+00  2.12120000E+00 -2.20438086E+04  1.55370895E+04 -1.74199001E+04
     21  6.66900000E+00  3.11390000E+00  8.50910000E-01  8.01946322E+03  2.98943571E+04  2.28001217E+04
     22  4.07540000E-01 -6.40810000E+00 -5.32020000E+00  2.10193624E+04 -2.39001194E+04  3.39578345E+04
     23 -5.60260000E-02 -7.06440000E+00 -4.72490000E+00  1.29534589E+04  2.50405904E+04 -2.39590960E+04
     24  1.38500000E+00 -6.39870000E+00 -5.10940000E+00 -3.39666975E+04  3.09349341E+03 -1.03388536E+04
     25  7.35190000E+00 -3.84620000E-01  6.20690000E+00  4.49048519E+03 -3.34947526E+04 -2.75542539E+04
